Majors,Technical Skills,Soft Skills,Soft Skills Rating,Career Interest
B.Sc Data Science,"Cybersecurity, Java","Leadership, Time Management, Problem-Solving",1,Data Scientist
M.Tech AI,"Blockchain, Python, SQL","Adaptability, Teamwork, Leadership",4,Cybersecurity Expert
B.Tech IT,"Blockchain, Machine Learning, Python","Teamwork, Adaptability, Problem-Solving",3,Cybersecurity Expert
B.Tech IT,"Cybersecurity, Blockchain, Java ","Time Management, Communication, Leadership",4,Cloud Architect
B.Tech IT,"Cloud Computing, SQL","Teamwork, Problem-Solving",5,Software Developer
B.Tech CSE,"Machine Learning, Cybersecurity, Java, Data Analysis","Leadership, Adaptability",4,Software Developer
M.Tech AI,"Cybersecurity, SQL","Communication, Time Management",4,Data Scientist
B.Tech IT,"SQL, Cloud Computing","Time Management, Teamwork",5,Data Scientist
M.Tech AI,"Java, SQL, Cloud Computing","Problem-Solving, Adaptability, Time Management",2,Cloud Architect
M.Tech AI,"SQL, Cloud Computing","Problem-Solving, Leadership, Communication",5,Cloud Architect
M.Tech AI,"Python, Machine Learning","Problem-Solving, Time Management, Teamwork",1,Cybersecurity Expert
B.Sc Data Science,"Data Analysis, Cybersecurity","Leadership, Teamwork",2,Software Developer
B.Tech CSE,"Cloud Computing, Cybersecurity","Communication, Adaptability, Teamwork",2,Cloud Architect
B.Sc Data Science,"Machine Learning, Cybersecurity, Python, Data Analysis","Leadership, Teamwork",4,Business Analyst
B.Tech CSE,"Cybersecurity, Data Analysis","Problem-Solving, Leadership",5,Cloud Architect
M.Tech AI,"Java, Data Analysis, Python","Teamwork, Problem-Solving, Time Management",3,AI Engineer
B.Tech CSE,"Java, Blockchain, Machine Learning, Cybersecurity","Leadership, Adaptability, Communication",5,Software Developer
B.Tech IT,"Blockchain, Java, SQL, Python","Communication, Time Management",1,Cloud Architect
B.Tech CSE,"Data Analysis, Java, Cybersecurity","Adaptability, Leadership, Problem-Solving",5,Data Scientist
B.Sc Data Science,"Java, Cybersecurity, Blockchain","Problem-Solving, Leadership",4,Cloud Architect
B.Sc Data Science,"Python, Cloud Computing","Adaptability, Leadership",5,Data Scientist
B.Tech CSE,"Data Analysis, Python, Java, Cybersecurity","Teamwork, Adaptability, Time Management",2,Data Scientist
B.Tech IT,"Machine Learning, Blockchain","Communication, Time Management, Problem-Solving",3,Software Developer
B.Tech CSE,"Java, Machine Learning, Blockchain","Adaptability, Leadership",3,Cybersecurity Expert
B.Tech IT,"Java, Machine Learning, SQL, Cybersecurity","Time Management, Teamwork",2,Software Developer
B.Tech IT,"Python, SQL","Leadership, Time Management, Problem-Solving",1,Business Analyst
B.Sc Data Science,"Machine Learning, Java","Teamwork, Problem-Solving, Communication",5,Business Analyst
B.Tech IT,"Java, SQL, Python","Problem-Solving, Leadership, Communication",2,Cloud Architect
B.Tech CSE,"Machine Learning, Cybersecurity","Communication, Problem-Solving",5,Cloud Architect
B.Tech IT,"Cloud Computing, Data Analysis","Adaptability, Communication",4,Data Scientist
B.Tech CSE,"Blockchain, SQL, Cybersecurity, Cloud Computing","Time Management, Communication, Teamwork",3,Software Developer
M.Tech AI,"Cybersecurity, SQL, Blockchain","Problem-Solving, Leadership, Time Management",5,Cybersecurity Expert
M.Tech AI,"Python, Cybersecurity, Blockchain, Machine Learning","Time Management, Adaptability, Problem-Solving",4,Data Scientist
B.Tech IT,"Machine Learning, Blockchain, Data Analysis, Cloud Computing","Time Management, Teamwork",5,Cybersecurity Expert
B.Tech CSE,"Cloud Computing, SQL, Cybersecurity","Leadership, Communication",1,Cloud Architect
B.Tech IT,"Java, Blockchain, Data Analysis, SQL","Leadership, Communication",2,Cloud Architect
B.Tech CSE,"SQL, Blockchain, Machine Learning","Time Management, Problem-Solving",2,Business Analyst
B.Tech IT,"SQL, Java, Blockchain, Data Analysis","Problem-Solving, Adaptability",4,Data Scientist
B.Tech IT,"Machine Learning, Data Analysis","Problem-Solving, Leadership",1,AI Engineer
B.Tech CSE,"SQL, Java","Teamwork, Time Management, Problem-Solving",5,Data Scientist
B.Tech IT,"Data Analysis, Cybersecurity","Communication, Teamwork",1,Cloud Architect
M.Tech AI,"SQL, Machine Learning","Time Management, Leadership, Problem-Solving",1,Software Developer
B.Tech CSE,"Python, Machine Learning","Problem-Solving, Time Management, Communication",3,Cloud Architect
B.Sc Data Science,"Java, SQL, Python","Communication, Teamwork, Problem-Solving",4,Business Analyst
M.Tech AI,"Machine Learning, Java, Blockchain, Cloud Computing","Problem-Solving, Teamwork, Time Management",4,Business Analyst
M.Tech AI,"Cybersecurity, Blockchain, Java, Machine Learning","Adaptability, Teamwork",5,Cloud Architect
B.Sc Data Science,"SQL, Java, Data Analysis, Cybersecurity","Time Management, Teamwork, Communication",5,Data Scientist
B.Tech IT,"Blockchain, Data Analysis, Java","Leadership, Time Management, Problem-Solving",2,AI Engineer
M.Tech AI,"Data Analysis, Cybersecurity","Time Management, Problem-Solving",4,Data Scientist
M.Tech AI,"Blockchain, Java","Adaptability, Communication",1,Data Scientist
B.Tech CSE,"Data Analysis, Machine Learning, Cloud Computing","Communication, Adaptability, Teamwork",5,Software Developer
B.Sc Data Science,"Cloud Computing, Machine Learning, Python","Time Management, Communication, Adaptability",2,Business Analyst
B.Tech IT,"Cloud Computing, Python, Data Analysis","Time Management, Communication",3,AI Engineer
B.Sc Data Science,"Cloud Computing, Cybersecurity","Adaptability, Time Management",3,Business Analyst
M.Tech AI,"Data Analysis, Machine Learning, Cybersecurity, Blockchain","Problem-Solving, Communication, Leadership",3,Software Developer
B.Sc Data Science,"Cybersecurity, SQL, Machine Learning","Leadership, Communication",1,Cybersecurity Expert
B.Tech CSE,"SQL, Machine Learning, Data Analysis","Leadership, Communication",3,Cloud Architect
M.Tech AI,"Cloud Computing, Python, SQL","Time Management, Leadership",5,Cybersecurity Expert
B.Tech CSE,"Java, Blockchain, Machine Learning","Teamwork, Adaptability",3,Software Developer
B.Tech IT,"SQL, Data Analysis, Java, Python","Communication, Problem-Solving",2,Cloud Architect
B.Tech IT,"Cloud Computing, Data Analysis, Cybersecurity, Machine Learning","Time Management, Problem-Solving, Leadership",4,Cloud Architect
B.Tech CSE,"SQL, Machine Learning, Cybersecurity, Python","Communication, Problem-Solving",1,Cybersecurity Expert
B.Tech IT,"Machine Learning, Cloud Computing","Teamwork, Adaptability",2,Cybersecurity Expert
B.Sc Data Science,"Java, Python, Cloud Computing","Leadership, Communication, Problem-Solving",3,AI Engineer
M.Tech AI,"Machine Learning, Java","Problem-Solving, Leadership, Time Management",4,Cloud Architect
B.Tech IT,"Cloud Computing, Java","Adaptability, Problem-Solving",2,Cybersecurity Expert
B.Tech IT,"Cybersecurity, Python","Time Management, Problem-Solving, Communication",1,Software Developer
M.Tech AI,"Cybersecurity, Java, Python, SQL","Leadership, Adaptability",5,Cybersecurity Expert
B.Tech CSE,"Blockchain, Cybersecurity, Data Analysis, Cloud Computing","Leadership, Problem-Solving",3,Cloud Architect
B.Tech CSE,"Blockchain, Cloud Computing, Machine Learning, Data Analysis","Teamwork, Adaptability",1,Software Developer
B.Tech IT,"Blockchain, Machine Learning, Python","Leadership, Problem-Solving, Adaptability",2,Cloud Architect
B.Tech CSE,"Cloud Computing, Cybersecurity, Data Analysis","Time Management, Communication, Teamwork",4,Cloud Architect
M.Tech AI,"Blockchain, Cloud Computing, Python, SQL","Teamwork, Problem-Solving",5,Cloud Architect
M.Tech AI,"Machine Learning, Cybersecurity, SQL","Time Management, Problem-Solving, Teamwork",3,AI Engineer
M.Tech AI,"Data Analysis, Python","Communication, Problem-Solving, Leadership",2,Cybersecurity Expert
M.Tech AI,"Blockchain, Data Analysis, Python, Cloud Computing","Adaptability, Communication, Leadership",2,Business Analyst
M.Tech AI,"SQL, Machine Learning, Blockchain, Java","Leadership, Problem-Solving, Communication",5,Cybersecurity Expert
B.Sc Data Science,"Python, Java, Cybersecurity","Communication, Leadership, Time Management",5,Cloud Architect
B.Tech IT,"Blockchain, Python, Java","Adaptability, Teamwork",3,AI Engineer
B.Tech IT,"Cloud Computing, Cybersecurity, SQL, Machine Learning","Adaptability, Teamwork, Communication",3,Cloud Architect
B.Sc Data Science,"Blockchain, SQL, Cybersecurity","Communication, Teamwork, Adaptability",4,Cloud Architect
B.Sc Data Science,"Data Analysis, Python","Communication, Problem-Solving",1,Data Scientist
B.Sc Data Science,"Cybersecurity, Data Analysis, Blockchain","Leadership, Adaptability, Communication",2,AI Engineer
B.Tech CSE,"Java, Cloud Computing, Blockchain","Communication, Leadership, Adaptability",4,Business Analyst
B.Tech CSE,"Cloud Computing, Cybersecurity, Java","Problem-Solving, Teamwork",1,Software Developer
B.Tech CSE,"Data Analysis, Blockchain, Cybersecurity","Adaptability, Teamwork, Time Management",1,Cybersecurity Expert
B.Tech IT,"Blockchain, Machine Learning, Java","Leadership, Adaptability, Problem-Solving",2,AI Engineer
M.Tech AI,"Cloud Computing, Blockchain, SQL, Machine Learning","Teamwork, Adaptability",1,AI Engineer
B.Sc Data Science,"Cloud Computing, Java, Machine Learning, Blockchain","Problem-Solving, Time Management",2,Business Analyst
B.Tech IT,"Python, SQL, Blockchain","Adaptability, Communication",5,Software Developer
M.Tech AI,"Cybersecurity, Blockchain","Time Management, Leadership",4,Data Scientist
B.Tech CSE,"SQL, Cybersecurity, Python","Time Management, Teamwork",3,Cloud Architect
M.Tech AI,"Cybersecurity, SQL, Machine Learning, Cloud Computing","Problem-Solving, Leadership, Communication",4,Cybersecurity Expert
B.Sc Data Science,"Data Analysis, Java","Teamwork, Problem-Solving, Communication",3,Business Analyst
B.Tech IT,"Python, Blockchain","Adaptability, Problem-Solving",3,Cloud Architect
B.Tech CSE,"Blockchain, Data Analysis","Teamwork, Communication",3,Business Analyst
B.Sc Data Science,"Cybersecurity, Data Analysis, SQL","Leadership, Time Management",2,Data Scientist
M.Tech AI,"Python, Java, Cybersecurity","Problem-Solving, Teamwork, Communication",5,AI Engineer
B.Tech CSE,"Cybersecurity, SQL, Data Analysis","Communication, Adaptability, Time Management",5,AI Engineer
M.Tech AI,"Java, SQL, Data Analysis","Leadership, Communication",1,Cloud Architect
B.Tech IT,"Cybersecurity, Machine Learning, Blockchain","Teamwork, Leadership, Time Management",1,Software Developer
M.Tech AI,"Java, Data Analysis, Machine Learning, Python","Problem-Solving, Teamwork",4,Data Scientist
B.Tech IT,"SQL, Java","Problem-Solving, Teamwork",2,Cloud Architect
M.Tech AI,"Blockchain, Machine Learning, Java, Cloud Computing","Communication, Time Management",2,Cloud Architect
B.Tech CSE,"SQL, Java","Teamwork, Time Management",2,Cloud Architect
B.Tech IT,"Cloud Computing, Java, Cybersecurity, Python","Adaptability, Time Management, Leadership",3,Data Scientist
M.Tech AI,"Cybersecurity, SQL, Cloud Computing","Communication, Leadership",5,AI Engineer
B.Tech CSE,"Cloud Computing, Blockchain","Leadership, Time Management, Communication",1,Software Developer
B.Tech IT,"Cybersecurity, Blockchain, Python","Communication, Teamwork, Time Management",2,Business Analyst
B.Tech CSE,"Java, Data Analysis, Python","Teamwork, Time Management",1,Software Developer
M.Tech AI,"Blockchain, Data Analysis, Machine Learning","Adaptability, Leadership, Communication",4,Cybersecurity Expert
B.Tech CSE,"Data Analysis, Machine Learning, Blockchain, Java","Time Management, Problem-Solving",3,Business Analyst
B.Tech CSE,"Cloud Computing, Machine Learning","Communication, Leadership, Teamwork",5,Software Developer
B.Tech CSE,"Cybersecurity, Python, SQL","Leadership, Problem-Solving, Time Management",1,Software Developer
M.Tech AI,"Blockchain, Python","Teamwork, Adaptability, Problem-Solving",5,Software Developer
B.Tech IT,"Cybersecurity, SQL, Java","Adaptability, Time Management, Teamwork",5,Software Developer
B.Sc Data Science,"SQL, Data Analysis, Java, Blockchain","Teamwork, Time Management, Leadership",3,Software Developer
B.Tech IT,"Python, Cybersecurity, Machine Learning, SQL","Communication, Time Management, Adaptability",1,Business Analyst
B.Sc Data Science,"Data Analysis, Blockchain, Machine Learning","Problem-Solving, Time Management, Adaptability",2,Data Scientist
B.Sc Data Science,"Blockchain, SQL, Data Analysis, Python","Time Management, Leadership, Adaptability",1,AI Engineer
M.Tech AI,"Java, Python, Blockchain","Adaptability, Leadership",5,Cloud Architect
M.Tech AI,"Data Analysis, SQL","Time Management, Problem-Solving",1,AI Engineer
B.Sc Data Science,"Python, Java, Cloud Computing, Cybersecurity","Communication, Teamwork, Problem-Solving",4,Business Analyst
B.Sc Data Science,"Machine Learning, Python, Data Analysis","Adaptability, Time Management",5,Business Analyst
B.Tech IT,"Python, Java, Cloud Computing, SQL","Communication, Time Management",3,AI Engineer
B.Sc Data Science,"Python, Data Analysis, Cybersecurity","Leadership, Adaptability",4,Cybersecurity Expert
B.Sc Data Science,"Data Analysis, Python, Blockchain, Cloud Computing","Time Management, Leadership",1,Software Developer
B.Tech IT,"Cybersecurity, Blockchain, Java","Adaptability, Time Management, Teamwork",5,Software Developer
B.Tech IT,"Java, Cybersecurity, Cloud Computing, Machine Learning","Teamwork, Problem-Solving",3,AI Engineer
B.Sc Data Science,"SQL, Python, Machine Learning","Leadership, Teamwork, Communication",5,Data Scientist
B.Sc Data Science,"Python, Cloud Computing","Leadership, Problem-Solving",4,Cybersecurity Expert
B.Tech CSE,"Java, Machine Learning, Blockchain","Leadership, Teamwork, Problem-Solving",3,AI Engineer
M.Tech AI,"Data Analysis, Cybersecurity","Problem-Solving, Leadership, Time Management",3,Cybersecurity Expert
M.Tech AI,"Blockchain, Data Analysis, Cybersecurity","Time Management, Communication, Adaptability",3,Data Scientist
B.Tech IT,"Python, Blockchain, Java","Leadership, Problem-Solving, Teamwork",4,AI Engineer
M.Tech AI,"Data Analysis, Java","Teamwork, Problem-Solving",1,Cloud Architect
B.Tech IT,"Machine Learning, Python, Cybersecurity, SQL","Teamwork, Adaptability",5,Cloud Architect
B.Sc Data Science,"Blockchain, SQL, Cloud Computing","Problem-Solving, Time Management, Adaptability",1,Business Analyst
B.Sc Data Science,"Data Analysis, Machine Learning, Cloud Computing, Python","Time Management, Communication",2,Business Analyst
B.Tech CSE,"Java, Cybersecurity","Teamwork, Communication, Leadership",4,Software Developer
B.Sc Data Science,"Cybersecurity, Data Analysis, Python","Adaptability, Problem-Solving, Communication",5,Software Developer
B.Sc Data Science,"SQL, Cybersecurity, Machine Learning, Python","Problem-Solving, Communication, Teamwork",4,Data Scientist
M.Tech AI,"Cloud Computing, Blockchain","Communication, Leadership, Adaptability",5,Cybersecurity Expert
B.Tech IT,"Machine Learning, SQL, Python","Time Management, Problem-Solving",5,AI Engineer
B.Tech IT,"SQL, Python","Adaptability, Communication",4,Cloud Architect
B.Sc Data Science,"Python, SQL, Cybersecurity","Communication, Leadership",4,Business Analyst
M.Tech AI,"Blockchain, Data Analysis, Cloud Computing, Python","Time Management, Leadership, Teamwork",2,Business Analyst
B.Tech IT,"Cloud Computing, Machine Learning","Leadership, Adaptability",2,Data Scientist
M.Tech AI,"Blockchain, Data Analysis","Adaptability, Teamwork",4,Business Analyst
M.Tech AI,"Python, Blockchain","Communication, Teamwork, Problem-Solving",5,Data Scientist
B.Tech CSE,"SQL, Java","Teamwork, Problem-Solving, Communication",1,Cybersecurity Expert
B.Tech CSE,"Blockchain, Python, Java, SQL","Adaptability, Problem-Solving",5,Cybersecurity Expert
B.Sc Data Science,"Blockchain, Java, SQL","Problem-Solving, Leadership",3,Business Analyst
B.Tech IT,"Blockchain, Data Analysis, Machine Learning","Adaptability, Leadership",1,Business Analyst
B.Tech IT,"Blockchain, Cloud Computing","Time Management, Teamwork",3,Data Scientist
B.Sc Data Science,"Python, SQL, Java, Cybersecurity","Time Management, Problem-Solving",3,Cybersecurity Expert
B.Sc Data Science,"Blockchain, Python, Cloud Computing","Teamwork, Problem-Solving",4,AI Engineer
M.Tech AI,"Data Analysis, Cybersecurity","Communication, Time Management, Teamwork",3,Cloud Architect
B.Tech CSE,"Machine Learning, Data Analysis, Cybersecurity","Problem-Solving, Communication",4,Cybersecurity Expert
B.Tech CSE,"Machine Learning, SQL, Java","Problem-Solving, Teamwork",1,Cybersecurity Expert
B.Tech CSE,"Blockchain, Cloud Computing, Python, Machine Learning","Problem-Solving, Teamwork, Adaptability",4,AI Engineer
B.Tech CSE,"Cybersecurity, Java, Data Analysis, Blockchain","Adaptability, Teamwork",1,Software Developer
M.Tech AI,"SQL, Python, Data Analysis","Adaptability, Leadership",5,Data Scientist
